name,problem,method,k,d4_time_s,d4_status,d4_result,model_count,kissat_time_s,kissat_status,kissat_result,d4_timeout,kissat_timeout,model_count_plus1,d4_speedup_vs_method_k0,kissat_speedup_vs_method_k0,models_ratio_vs_method_k0,tool_time_s,tool_runs,amortized_tool_time_s,total_d4_time_s,total_kissat_time_s,tool_share_total_d4,tool_share_total_kissat,d4_net_speedup_vs_method_k0,kissat_net_speedup_vs_method_k0
golf_g3_p3_w3_satsuma_k080,golf_g3_p3_w3,satsuma,80,25.526,s,sat,143403.0,0.007,s,sat,False,False,143404.0,10.182598135234663,0.8571428571428571,0.032931685405643736,0.015722274780273438,1,0.015722274780273438,25.541722274780273,0.022722274780273437,0.0006155526479824545,0.6919322529240287,10.176330209989178,0.2640580689222612
golf_g4_p4_w6_gen2_k0,golf_g4_p4_w6,gen2,0,36004.9,n,,,36000.1,n,,True,True,,1.0,1.0,,0.011143684387207031,1,0.011143684387207031,36004.91114368439,36000.111143684386,3.0950456571705055e-07,3.0954583286507447e-07,1.0,1.0
golf_g4_p4_w6_gen2_k76,golf_g4_p4_w6,gen2,76,36001.8,n,,,27618.2,s,unsat,True,False,,1.0000861068057707,1.3034919002686634,,0.11102604866027832,1,0.11102604866027832,36001.91102604866,27618.31102604866,3.08389320166774e-06,4.020015871193655e-06,1.0000833321773823,1.303487063699525
golf_g4_p4_w6_gen2_k152,golf_g4_p4_w6,gen2,152,36004.5,n,,,36001.5,n,,True,True,,1.0000111097223958,0.999961112731414,,0.3961930274963379,1,0.3961930274963379,36004.896193027496,36001.896193027496,1.1003865290217456e-05,1.1004782230694527e-05,1.00000041523955,0.9999504179076141
golf_g4_p4_w6_gen2_k228,golf_g4_p4_w6,gen2,228,36003.0,n,,,36000.1,n,,True,True,,1.0000527733799962,1.0,,1.1113438606262207,1,1.1113438606262207,36004.111343860626,36001.211343860625,3.0867137644704724e-05,3.086962408046142e-05,1.0000222141248294,0.9999694399122927
golf_g4_p4_w6_gen2_k304,golf_g4_p4_w6,gen2,304,36000.5,n,,,4507.73,s,unsat,True,False,,1.0001222205247149,7.986303527496101,,1.5884027481079102,1,1.5884027481079102,36002.08840274811,4509.3184027481075,4.4119739120096835e-05,0.00035224896674847624,1.0000784049220897,7.9834928315873395
golf_g4_p4_w6_gen2_k380,golf_g4_p4_w6,gen2,380,36003.3,n,,,5905.86,s,unsat,True,False,,1.0000444403707438,6.095657533365166,,1.950840711593628,1,1.950840711593628,36005.2508407116,5907.810840711593,5.41821169424485e-05,0.0003302138074817998,0.9999905653475736,6.093646549344865
golf_g4_p4_w6_neighbors_k0,golf_g4_p4_w6,neighbors,0,36003.0,n,,,36002.2,n,,True,True,,1.0,1.0,,0.0,1,0.0,36003.0,36002.2,0.0,0.0,1.0,1.0
golf_g4_p4_w6_neighbors_k76,golf_g4_p4_w6,neighbors,76,0.612,s,unsat,0.0,4.333,s,unsat,False,False,1.0,58828.43137254902,8308.83914147242,,0.518867015838623,1,0.518867015838623,1.1308670158386231,4.851867015838623,0.4588223094064195,0.10694172246370591,31836.634631439014,7420.2775720095
golf_g4_p4_w6_neighbors_k152,golf_g4_p4_w6,neighbors,152,6.228,s,unsat,0.0,8.28,s,unsat,False,False,1.0,5780.82851637765,4348.091787439614,,1.9037296772003174,1,1.9037296772003174,8.131729677200317,10.183729677200317,0.23411128416356244,0.1869383553515224,4427.471328879136,3535.266659778191
golf_g4_p4_w6_neighbors_k228,golf_g4_p4_w6,neighbors,228,1.515,s,unsat,0.0,3.333,s,unsat,False,False,1.0,23764.356435643567,10801.740174017401,,4.382069826126099,1,4.382069826126099,5.897069826126098,7.715069826126099,0.7430927486583225,0.5679883558910612,6105.235491785093,4666.477531814831
golf_g4_p4_w6_neighbors_k304,golf_g4_p4_w6,neighbors,304,1.215,s,unsat,0.0,4.227,s,unsat,False,False,1.0,29632.098765432096,8517.198959072626,,7.281544923782349,1,7.281544923782349,8.496544923782348,11.508544923782349,0.8570006972364566,0.632707694326767,4237.3694628772455,3128.301643555445
golf_g4_p4_w6_neighbors_k380,golf_g4_p4_w6,neighbors,380,0.452,s,unsat,0.0,4.033,s,unsat,False,False,1.0,79652.65486725663,8926.903049838827,,10.539054155349731,1,10.539054155349731,10.991054155349731,14.572054155349733,0.958875646174485,0.7232373722328368,3275.663961902697,2470.6331458960967
golf_g4_p4_w6_nongen_k0,golf_g4_p4_w6,nongen,0,36005.8,n,,,36002.9,n,,True,True,,1.0,1.0,,0.015951156616210938,1,0.015951156616210938,36005.81595115662,36002.91595115662,4.430161126705014e-07,4.4305179718918004e-07,1.0,1.0
golf_g4_p4_w6_nongen_k76,golf_g4_p4_w6,nongen,76,36001.1,n,,,927.1,s,unsat,True,False,,1.00013055156648,38.83389062668537,,0.7067611217498779,1,0.7067611217498779,36001.80676112175,927.8067611217499,1.9631268131606865e-05,0.0007617546577213769,1.000111360800903,38.804325921949385
golf_g4_p4_w6_nongen_k152,golf_g4_p4_w6,nongen,152,36001.1,n,,,417.21,s,unsat,True,False,,1.00013055156648,86.294432060593,,2.109400987625122,1,2.109400987625122,36003.209400987624,419.3194009876251,5.8589248645351546e-05,0.005030535154483287,1.0000723977171024,85.86036292706412
golf_g4_p4_w6_nongen_k228,golf_g4_p4_w6,nongen,228,36003.4,n,,,295.864,s,unsat,True,False,,1.000066660370965,121.68732931346837,,5.09728217124939,1,5.09728217124939,36008.49728217125,300.96128217124937,0.0001415577587508265,0.01693667083844026,0.9999255361590454,119.62640407237059
golf_g4_p4_w6_nongen_k304,golf_g4_p4_w6,nongen,304,36002.0,n,,,595.053,s,unsat,True,False,,1.000105549691684,60.503686226268925,,8.48428201675415,1,8.48428201675415,36010.484282016754,603.5372820167541,0.00023560588495032011,0.0140575939043955,0.999870361897286,59.653176405028084
