problem,metric,best_method,best_k,value,tool_time_s,d4_time_s,kissat_time_s,total_d4_time_s,total_kissat_time_s,model_count,d4_result,kissat_result,d4_timeout,kissat_timeout
latinsq_lsq7,kissat_time_s,gen2,68,0.005,0.09537458419799805,13339.7,0.005,13339.795374584199,0.10037458419799805,,,sat,True,False
latinsq_lsq7,model_count,neighbors,272,268944.0,4.746349811553955,14.799,0.123,19.545349811553955,4.869349811553955,268944.0,sat,sat,False,False
latinsq_lsq7,d4_speedup_vs_method_k0,neighbors,340,1010.351617440225,6.706852436065674,14.22,0.16,20.926852436065673,6.866852436065674,268944.0,sat,sat,False,False
latinsq_lsq7,kissat_speedup_vs_method_k0,gen2,68,9.0,0.09537458419799805,13339.7,0.005,13339.795374584199,0.10037458419799805,,,sat,True,False
latinsq_lsq7,tool_time_s,neighbors,0,0.0,0.0,14367.2,0.03,14367.2,0.03,,,sat,True,False
latinsq_lsq7,total_d4_time_s,neighbors,272,19.545349811553955,4.746349811553955,14.799,0.123,19.545349811553955,4.869349811553955,268944.0,sat,sat,False,False
latinsq_lsq7,total_kissat_time_s,satsuma,68,0.0220832405090332,0.016083240509033203,12590.5,0.006,12590.516083240509,0.0220832405090332,,,sat,True,False
latinsq_lsq7,d4_net_speedup_vs_method_k0,neighbors,272,735.0699853684397,4.746349811553955,14.799,0.123,19.545349811553955,4.869349811553955,268944.0,sat,sat,False,False
latinsq_lsq7,kissat_net_speedup_vs_method_k0,satsuma,68,2.1283108328587255,0.016083240509033203,12590.5,0.006,12590.516083240509,0.0220832405090332,,,sat,True,False
latinsq_lsq8,d4_time_s,satsuma,500,3223.65,0.28479886054992676,3223.65,0.011,3223.93479886055,0.29579886054992677,,,sat,True,False
latinsq_lsq8,kissat_time_s,neighbors,0,0.003,0.0,16858.2,0.003,16858.2,0.003,,,sat,True,False
latinsq_lsq8,d4_speedup_vs_method_k0,satsuma,500,8.897119724535852,0.28479886054992676,3223.65,0.011,3223.93479886055,0.29579886054992677,,,sat,True,False
latinsq_lsq8,kissat_speedup_vs_method_k0,gen2,0,1.0,0.013801813125610352,18594.3,0.005,18594.313801813125,0.018801813125610353,,,sat,True,False
latinsq_lsq8,tool_time_s,neighbors,0,0.0,0.0,16858.2,0.003,16858.2,0.003,,,sat,True,False
latinsq_lsq8,total_d4_time_s,satsuma,500,3223.93479886055,0.28479886054992676,3223.65,0.011,3223.93479886055,0.29579886054992677,,,sat,True,False
latinsq_lsq8,total_kissat_time_s,neighbors,0,0.003,0.0,16858.2,0.003,16858.2,0.003,,,sat,True,False
latinsq_lsq8,d4_net_speedup_vs_method_k0,satsuma,500,8.896333762747599,0.28479886054992676,3223.65,0.011,3223.93479886055,0.29579886054992677,,,sat,True,False
latinsq_lsq8,kissat_net_speedup_vs_method_k0,gen2,0,1.0,0.013801813125610352,18594.3,0.005,18594.313801813125,0.018801813125610353,,,sat,True,False
